Step;brand_0;avg_purchases_0;std0;min0;max0;brand_1;avg_purchases_1;std1;min1;max1;brand_2;avg_purchases_2;std2;min2;max2;brand_3;avg_purchases_3;std3;min3;max3
15;0;26.041666666666664;5,1762;15,0000;46,0000;1;29.908333333333335;5,2630;19,0000;48,0000;2;19.0125;4,0792;10,0000;30,0000;3;26.708333333333336;5,1924;13,0000;39,0000
16;0;26.176470588235297;5,1890;15,0000;46,0000;1;29.905882352941177;5,3668;18,0000;48,0000;2;19.058823529411764;4,0392;10,0000;30,0000;3;26.682352941176468;5,2471;13,0000;39,0000
17;0;26.11851851851852;5,1187;15,0000;46,0000;1;29.92962962962963;5,3019;18,0000;48,0000;2;19.09259259259259;4,0105;10,0000;30,0000;3;26.470370370370368;5,2990;13,0000;39,0000
18;0;26.09824561403509;5,0822;15,0000;46,0000;1;29.898245614035087;5,2494;18,0000;48,0000;2;18.943859649122807;4,1398;8,0000;30,0000;3;26.42105263157895;5,2660;13,0000;39,0000
19;0;26.113333333333333;5,0204;15,0000;46,0000;1;29.926666666666666;5,2037;18,0000;48,0000;2;19.03;4,1368;8,0000;30,0000;3;26.410000000000004;5,2339;13,0000;39,0000
20;0;26.12063492063492;5,0005;15,0000;46,0000;1;29.90793650793651;5,1944;18,0000;48,0000;2;18.974603174603175;4,1091;8,0000;30,0000;3;26.365079365079364;5,2960;13,0000;39,0000
21;0;26.14242424242424;4,9644;15,0000;46,0000;1;30.01818181818182;5,2725;18,0000;48,0000;2;18.996969696969696;4,0652;8,0000;30,0000;3;26.439393939393938;5,3666;13,0000;39,0000
22;0;26.18550724637681;4,9398;15,0000;46,0000;1;30.014492753623188;5,2254;18,0000;48,0000;2;18.93913043478261;4,0130;8,0000;30,0000;3;26.414492753623186;5,3265;13,0000;39,0000
23;0;26.15277777777778;4,9309;15,0000;46,0000;1;30.1;5,2376;18,0000;48,0000;2;18.96388888888889;4,0051;8,0000;30,0000;3;26.477777777777778;5,2972;13,0000;39,0000
24;0;26.154666666666664;5,0397;14,0000;46,0000;1;30.122666666666667;5,2188;18,0000;48,0000;2;18.96;4,0135;8,0000;30,0000;3;26.498666666666665;5,2412;13,0000;39,0000
25;0;26.25897435897436;5,1103;14,0000;46,0000;1;30.10769230769231;5,1730;18,0000;48,0000;2;19.04871794871795;4,0543;8,0000;30,0000;3;26.45641025641026;5,1812;13,0000;39,0000
26;0;26.182716049382716;5,0826;14,0000;46,0000;1;30.0962962962963;5,1544;18,0000;48,0000;2;19.02716049382716;4,0659;8,0000;30,0000;3;26.530864197530867;5,2249;13,0000;42,0000
27;0;26.13095238095238;5,1097;14,0000;46,0000;1;30.107142857142854;5,1331;18,0000;48,0000;2;19.13095238095238;4,0674;8,0000;30,0000;3;26.528571428571432;5,1850;13,0000;42,0000
28;0;26.186206896551724;5,1004;14,0000;46,0000;1;30.140229885057472;5,1852;18,0000;48,0000;2;19.165517241379312;4,0703;8,0000;31,0000;3;26.597701149425284;5,2672;13,0000;44,0000
29;0;26.240000000000002;5,0846;14,0000;46,0000;1;30.115555555555552;5,2058;18,0000;48,0000;2;19.16;4,1132;8,0000;31,0000;3;26.58888888888889;5,2201;13,0000;44,0000
