Step;avg_deliberation;avg_imitation;avg_repetition;avg_social;avg_utility;std_deliberation;std_imitation;std_repetition;std_social;std_utility
85;10.2;0.0;0.0;0.0;92.66666666666667;2,7308;0,0000;0,0000;0,0000;10,8803
86;10.866666666666667;0.0;0.0;0.0;92.8;3,6814;0,0000;0,0000;0,0000;12,6163
87;10.466666666666667;0.0;0.0;0.0;90.33333333333333;2,6957;0,0000;0,0000;0,0000;9,8464
88;9.2;0.0;0.06666666666666668;0.0;91.46666666666667;3,5092;0,0000;0,2582;0,0000;9,7091
89;10.4;0.0;0.13333333333333336;0.0;95.33333333333333;2,5857;0,0000;0,3519;0,0000;9,7663
90;11.0;0.0;0.0;0.0;91.86666666666666;3,7985;0,0000;0,0000;0,0000;9,7458
91;10.133333333333333;0.0;0.0;0.0;90.73333333333333;3,4614;0,0000;0,0000;0,0000;9,2541
92;10.533333333333333;0.0;0.0;0.0;89.93333333333334;3,9073;0,0000;0,0000;0,0000;8,7052
93;10.0;0.0;0.0;0.0;93.8;3,3806;0,0000;0,0000;0,0000;9,4506
94;10.733333333333333;0.0;0.0;0.0;86.06666666666666;2,3745;0,0000;0,0000;0,0000;7,5542
95;9.666666666666666;0.0;0.0;0.0;92.26666666666667;2,1269;0,0000;0,0000;0,0000;10,9510
96;10.2;0.0;0.0;0.0;97.2;3,6684;0,0000;0,0000;0,0000;8,8172
97;10.533333333333333;0.0;0.0;0.0;91.8;3,6029;0,0000;0,0000;0,0000;6,1899
98;10.4;0.0;0.0;0.0;87.13333333333334;3,5416;0,0000;0,0000;0,0000;12,2408
99;10.466666666666667;0.0;0.0;0.0;88.6;3,2921;0,0000;0,0000;0,0000;8,9187
100;11.8;0.0;0.0;0.0;90.8;3,4476;0,0000;0,0000;0,0000;8,3083
101;11.4;0.0;0.0;0.0;93.93333333333334;2,9228;0,0000;0,0000;0,0000;9,2154
102;11.266666666666667;0.0;0.13333333333333336;0.0;87.46666666666667;5,4963;0,0000;0,3519;0,0000;10,6360
103;11.533333333333333;0.0;0.0;0.0;90.13333333333334;3,8705;0,0000;0,0000;0,0000;9,9057
104;11.0;0.0;0.0;0.0;92.0;3,9821;0,0000;0,0000;0,0000;12,2766
105;10.0;0.0;0.0;0.0;92.2;3,6056;0,0000;0,0000;0,0000;8,3169
106;10.066666666666666;0.0;0.0;0.0;92.93333333333334;3,4737;0,0000;0,0000;0,0000;9,9604
107;9.733333333333333;0.0;0.06666666666666668;0.0;86.46666666666667;2,8652;0,0000;0,2582;0,0000;11,6427
108;10.6;0.0;0.0;0.0;91.93333333333334;2,8234;0,0000;0,0000;0,0000;10,5049
109;9.533333333333333;0.0;0.0;0.0;95.86666666666666;2,6690;0,0000;0,0000;0,0000;12,0052
110;10.2;0.0;0.06666666666666668;0.0;89.26666666666667;2,9809;0,0000;0,2582;0,0000;11,2534
111;10.533333333333333;0.0;0.06666666666666668;0.0;92.26666666666667;3,7007;0,0000;0,2582;0,0000;10,3335
112;10.8;0.0;0.06666666666666668;0.0;88.53333333333333;3,0519;0,0000;0,2582;0,0000;9,6575
113;9.8;0.0;0.0;0.0;93.13333333333334;3,2116;0,0000;0,0000;0,0000;12,2525
114;8.0;0.0;0.06666666666666667;0.0;92.46666666666667;3,0000;0,0000;0,2582;0,0000;13,2819
